Audio File : whispy\mar_07\030723_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 04:17:14          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:05:05.007 -->  00:05:10.457] F SPEAKER_00
[ 00:05:09.327 -->  00:05:21.949] BL SPEAKER_01
[ 00:05:19.553 -->  00:05:20.211] MF SPEAKER_06
[ 00:05:20.886 -->  00:05:25.949] MG SPEAKER_06
[ 00:05:23.991 -->  00:05:29.256] BM SPEAKER_01
[ 00:05:27.484 -->  00:05:30.910] DA SPEAKER_02
[ 00:05:30.100 -->  00:05:45.152] BN SPEAKER_01
[ 00:05:45.912 -->  00:05:47.549] G SPEAKER_00
[ 00:05:47.211 -->  00:05:48.089] BO SPEAKER_01
[ 00:05:48.696 -->  00:05:51.075] H SPEAKER_00
[ 00:05:48.713 -->  00:05:49.101] BP SPEAKER_01
[ 00:05:52.206 -->  00:05:53.539] FF SPEAKER_03
[ 00:05:54.096 -->  00:05:55.429] BQ SPEAKER_01
[ 00:05:54.130 -->  00:05:54.231] OM SPEAKER_07
[ 00:05:54.231 -->  00:05:58.770] FG SPEAKER_03
[ 00:05:58.770 -->  00:06:13.722] BR SPEAKER_01
[ 00:06:00.644 -->  00:06:00.947] FH SPEAKER_03
[ 00:06:03.377 -->  00:06:03.951] MH SPEAKER_06
[ 00:06:03.951 -->  00:06:04.204] I SPEAKER_00
[ 00:06:08.997 -->  00:06:09.081] JH SPEAKER_04
[ 00:06:13.283 -->  00:06:15.899] FI SPEAKER_03
[ 00:06:16.084 -->  00:06:18.919] BS SPEAKER_01
[ 00:06:16.810 -->  00:06:21.045] FJ SPEAKER_03
[ 00:06:19.881 -->  00:06:28.285] BT SPEAKER_01
[ 00:06:24.167 -->  00:06:24.960] ON SPEAKER_07
[ 00:06:28.285 -->  00:06:30.023] FK SPEAKER_03
[ 00:06:30.023 -->  00:06:31.440] BU SPEAKER_01
[ 00:06:31.710 -->  00:06:36.857] KW SPEAKER_05
[ 00:06:37.448 -->  00:06:38.376] KX SPEAKER_05
[ 00:06:37.499 -->  00:06:45.194] BV SPEAKER_01
[ 00:06:40.266 -->  00:06:41.025] OO SPEAKER_07
[ 00:06:43.388 -->  00:06:46.746] KY SPEAKER_05
[ 00:06:46.088 -->  00:06:54.559] BW SPEAKER_01
[ 00:06:52.990 -->  00:07:00.567] DB SPEAKER_02
[ 00:07:00.567 -->  00:07:18.437] BX SPEAKER_01
