Audio File : whispy\mar_28\032823_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 05:58:15          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:04:31.965 -->  00:04:36.488] VL SPEAKER_09
[ 00:04:40.420 -->  00:04:51.203] JR SPEAKER_05
[ 00:04:46.900 -->  00:04:47.440] CX SPEAKER_01
[ 00:04:47.440 -->  00:04:47.507] J SPEAKER_00
[ 00:04:47.507 -->  00:04:47.609] HR SPEAKER_04
[ 00:04:48.486 -->  00:04:48.537] K SPEAKER_00
[ 00:04:48.537 -->  00:04:49.110] HS SPEAKER_04
[ 00:04:49.110 -->  00:04:49.347] AFF SPEAKER_11
[ 00:04:49.347 -->  00:04:49.448] VM SPEAKER_09
[ 00:04:51.203 -->  00:04:52.958] AFG SPEAKER_11
[ 00:04:52.958 -->  00:05:04.146] VN SPEAKER_09
[ 00:05:05.057 -->  00:05:06.424] VO SPEAKER_09
[ 00:05:07.454 -->  00:05:07.470] VP SPEAKER_09
[ 00:05:07.470 -->  00:05:09.074] AFH SPEAKER_11
[ 00:05:09.344 -->  00:05:17.275] VQ SPEAKER_09
[ 00:05:13.225 -->  00:05:13.680] AFI SPEAKER_11
[ 00:05:15.942 -->  00:05:18.659] OZ SPEAKER_07
[ 00:05:20.076 -->  00:05:31.214] VR SPEAKER_09
[ 00:05:23.485 -->  00:05:23.805] L SPEAKER_00
[ 00:05:30.944 -->  00:05:30.994] CY SPEAKER_01
[ 00:05:31.973 -->  00:05:38.875] VS SPEAKER_09
[ 00:05:32.648 -->  00:05:33.019] CZ SPEAKER_01
[ 00:05:39.735 -->  00:05:45.878] VT SPEAKER_09
[ 00:05:46.536 -->  00:05:55.328] VU SPEAKER_09
[ 00:05:55.986 -->  00:06:03.681] VV SPEAKER_09
[ 00:06:02.888 -->  00:06:03.006] JS SPEAKER_05
[ 00:06:03.006 -->  00:06:06.229] PA SPEAKER_07
[ 00:06:06.229 -->  00:06:20.539] JT SPEAKER_05
[ 00:06:07.714 -->  00:06:09.992] PB SPEAKER_07
[ 00:06:09.992 -->  00:06:12.456] VW SPEAKER_09
[ 00:06:16.844 -->  00:06:18.953] PC SPEAKER_07
[ 00:06:23.374 -->  00:06:41.549] VX SPEAKER_09
[ 00:06:35.440 -->  00:06:35.794] PD SPEAKER_07
[ 00:06:36.874 -->  00:06:48.737] PE SPEAKER_07
[ 00:06:40.941 -->  00:06:41.009] JU SPEAKER_05
[ 00:06:41.549 -->  00:06:42.173] AFJ SPEAKER_11
[ 00:06:44.789 -->  00:06:50.442] VY SPEAKER_09
[ 00:06:49.935 -->  00:07:07.148] PF SPEAKER_07
[ 00:06:50.442 -->  00:06:51.083] M SPEAKER_00
[ 00:06:51.083 -->  00:06:51.218] MF SPEAKER_06
[ 00:06:55.690 -->  00:06:57.614] HT SPEAKER_04
[ 00:06:59.217 -->  00:07:00.449] HU SPEAKER_04
[ 00:07:00.449 -->  00:07:02.001] N SPEAKER_00
[ 00:07:02.001 -->  00:07:02.153] AFK SPEAKER_11
[ 00:07:05.427 -->  00:07:08.549] AFL SPEAKER_11
[ 00:07:09.409 -->  00:07:10.523] AFM SPEAKER_11
[ 00:07:09.510 -->  00:07:16.632] VZ SPEAKER_09
[ 00:07:13.729 -->  00:07:14.809] PG SPEAKER_07
[ 00:07:21.357 -->  00:07:30.047] WA SPEAKER_09
[ 00:07:28.765 -->  00:07:29.457] DA SPEAKER_01
[ 00:07:31.296 -->  00:07:35.262] WB SPEAKER_09
[ 00:07:33.945 -->  00:07:33.979] AFN SPEAKER_11
[ 00:07:33.979 -->  00:07:35.937] DB SPEAKER_01
[ 00:07:33.996 -->  00:07:39.447] SW SPEAKER_08
[ 00:07:35.937 -->  00:07:36.460] MG SPEAKER_06
[ 00:07:38.282 -->  00:07:38.502] PH SPEAKER_07
[ 00:07:38.502 -->  00:07:43.379] WC SPEAKER_09
[ 00:07:44.594 -->  00:08:10.244] WD SPEAKER_09
[ 00:07:47.175 -->  00:07:47.260] PI SPEAKER_07
[ 00:07:47.260 -->  00:07:47.884] JV SPEAKER_05
[ 00:08:01.519 -->  00:08:02.954] HV SPEAKER_04
[ 00:08:08.269 -->  00:08:08.961] HW SPEAKER_04
[ 00:08:10.024 -->  00:08:13.382] HX SPEAKER_04
[ 00:08:11.087 -->  00:08:17.955] WE SPEAKER_09
[ 00:08:21.212 -->  00:08:22.495] WF SPEAKER_09
[ 00:08:22.005 -->  00:08:31.000] ABZ SPEAKER_10
[ 00:08:25.583 -->  00:08:26.460] O SPEAKER_00
[ 00:08:28.755 -->  00:08:30.780] MH SPEAKER_06
[ 00:08:31.995 -->  00:08:34.442] ACA SPEAKER_10
[ 00:08:32.063 -->  00:08:45.259] PJ SPEAKER_07
[ 00:08:34.442 -->  00:08:35.995] P SPEAKER_00
[ 00:08:35.995 -->  00:08:39.707] MI SPEAKER_06
[ 00:08:43.167 -->  00:08:53.444] ACB SPEAKER_10
[ 00:08:45.259 -->  00:08:47.335] Q SPEAKER_00
[ 00:08:53.444 -->  00:08:53.494] MJ SPEAKER_06
[ 00:08:53.494 -->  00:08:57.004] R SPEAKER_00
[ 00:08:55.165 -->  00:08:59.940] ACC SPEAKER_10
[ 00:08:57.004 -->  00:08:59.991] PK SPEAKER_07
[ 00:08:59.991 -->  00:09:05.003] SX SPEAKER_08
[ 00:09:01.037 -->  00:09:01.206] PL SPEAKER_07
[ 00:09:04.007 -->  00:09:07.450] WG SPEAKER_09
[ 00:09:05.003 -->  00:09:06.319] JW SPEAKER_05
[ 00:09:07.450 -->  00:09:08.496] AFO SPEAKER_11
[ 00:09:08.007 -->  00:09:12.495] SY SPEAKER_08
[ 00:09:12.360 -->  00:09:21.962] WH SPEAKER_09
[ 00:09:18.503 -->  00:09:18.992] HY SPEAKER_04
[ 00:09:18.992 -->  00:09:19.178] JX SPEAKER_05
[ 00:09:19.836 -->  00:09:27.936] HZ SPEAKER_04
[ 00:09:25.540 -->  00:09:29.691] PM SPEAKER_07
[ 00:09:27.936 -->  00:09:28.071] WI SPEAKER_09
[ 00:09:30.417 -->  00:09:31.429] PN SPEAKER_07
[ 00:09:31.919 -->  00:09:35.985] MK SPEAKER_06
[ 00:09:37.454 -->  00:09:42.719] WJ SPEAKER_09
[ 00:09:38.483 -->  00:09:40.947] ML SPEAKER_06
[ 00:09:40.947 -->  00:09:51.460] DC SPEAKER_01
[ 00:09:46.313 -->  00:09:54.447] WK SPEAKER_09
[ 00:09:53.603 -->  00:09:55.982] ACD SPEAKER_10
[ 00:09:54.447 -->  00:09:59.442] S SPEAKER_00
[ 00:09:57.113 -->  00:09:57.501] ACE SPEAKER_10
[ 00:09:57.501 -->  00:10:01.230] WL SPEAKER_09
[ 00:09:59.442 -->  00:10:31.200] ACF SPEAKER_10
[ 00:10:08.402 -->  00:10:08.453] PO SPEAKER_07
[ 00:10:11.642 -->  00:10:12.419] T SPEAKER_00
[ 00:10:20.012 -->  00:10:21.835] U SPEAKER_00
[ 00:10:26.729 -->  00:10:27.944] PP SPEAKER_07
[ 00:10:27.944 -->  00:10:27.960] MM SPEAKER_06
[ 00:10:28.652 -->  00:10:29.378] MN SPEAKER_06
[ 00:10:32.230 -->  00:10:40.954] WM SPEAKER_09
[ 00:10:32.264 -->  00:10:33.006] ACG SPEAKER_10
[ 00:10:33.006 -->  00:10:35.369] V SPEAKER_00
[ 00:10:39.992 -->  00:10:45.477] SZ SPEAKER_08
[ 00:10:47.957 -->  00:10:54.505] WN SPEAKER_09
[ 00:10:49.544 -->  00:10:49.949] GP SPEAKER_03
[ 00:10:49.949 -->  00:10:50.185] TA SPEAKER_08
[ 00:10:53.948 -->  00:10:57.509] DD SPEAKER_01
[ 00:10:56.260 -->  00:11:09.945] ACH SPEAKER_10
[ 00:10:57.509 -->  00:10:58.572] WO SPEAKER_09
[ 00:10:59.922 -->  00:10:59.955] AFP SPEAKER_11
[ 00:11:04.461 -->  00:11:04.495] PQ SPEAKER_07
