Audio File : whispy\mar_21\032123_meeting.wav             
Pipeline : pyannote/speaker-diarization
                  
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~          
 Starting diarization...          
 Time : 14:58:23          
 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
                
[ 00:06:25.129 -->  00:06:27.610] IY SPEAKER_05
[ 00:06:31.677 -->  00:06:43.000] CT SPEAKER_03
[ 00:06:34.410 -->  00:06:34.630] IZ SPEAKER_05
[ 00:06:38.950 -->  00:06:43.455] G SPEAKER_00
[ 00:06:43.000 -->  00:06:45.312] FM SPEAKER_04
[ 00:06:45.244 -->  00:06:48.990] H SPEAKER_00
[ 00:06:46.594 -->  00:06:46.949] FN SPEAKER_04
[ 00:06:52.568 -->  00:06:54.120] BA SPEAKER_02
[ 00:06:53.918 -->  00:06:58.710] FO SPEAKER_04
[ 00:06:58.710 -->  00:07:05.190] BB SPEAKER_02
[ 00:07:01.309 -->  00:07:01.495] JA SPEAKER_05
[ 00:07:01.495 -->  00:07:03.469] FP SPEAKER_04
[ 00:07:04.836 -->  00:07:44.526] FQ SPEAKER_04
[ 00:07:09.662 -->  00:07:09.814] JB SPEAKER_05
[ 00:07:09.814 -->  00:07:09.865] CU SPEAKER_03
[ 00:07:20.074 -->  00:07:20.580] JC SPEAKER_05
[ 00:07:30.503 -->  00:07:32.005] I SPEAKER_00
[ 00:07:35.228 -->  00:07:35.447] CV SPEAKER_03
[ 00:07:35.447 -->  00:07:36.460] AK SPEAKER_01
[ 00:07:37.405 -->  00:07:37.810] JD SPEAKER_05
[ 00:07:45.623 -->  00:08:31.894] FR SPEAKER_04
[ 00:07:48.171 -->  00:07:50.534] JE SPEAKER_05
[ 00:08:03.949 -->  00:08:05.502] CW SPEAKER_03
[ 00:08:12.994 -->  00:08:13.585] JF SPEAKER_05
[ 00:08:13.585 -->  00:08:14.209] CX SPEAKER_03
[ 00:08:17.348 -->  00:08:18.259] CY SPEAKER_03
[ 00:08:23.693 -->  00:08:23.895] JG SPEAKER_05
[ 00:08:32.687 -->  00:08:33.059] FS SPEAKER_04
[ 00:08:34.155 -->  00:09:02.657] FT SPEAKER_04
[ 00:08:50.845 -->  00:08:53.646] JH SPEAKER_05
[ 00:08:54.996 -->  00:09:09.390] CZ SPEAKER_03
[ 00:09:04.767 -->  00:09:05.340] FU SPEAKER_04
[ 00:09:10.470 -->  00:09:14.976] DA SPEAKER_03
[ 00:09:14.959 -->  00:09:20.140] FV SPEAKER_04
[ 00:09:20.933 -->  00:09:25.084] FW SPEAKER_04
[ 00:09:26.147 -->  00:09:34.298] FX SPEAKER_04
[ 00:09:35.766 -->  00:09:57.299] FY SPEAKER_04
[ 00:09:45.402 -->  00:09:45.537] JI SPEAKER_05
[ 00:09:55.662 -->  00:09:56.320] AL SPEAKER_01
[ 00:09:58.176 -->  00:10:01.433] FZ SPEAKER_04
[ 00:10:02.395 -->  00:10:06.462] BC SPEAKER_02
[ 00:10:05.382 -->  00:10:16.367] GA SPEAKER_04
[ 00:10:17.279 -->  00:10:31.133] GB SPEAKER_04
